dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,observed_duration_min,estimated_distance,estimated_od_duration_min,distance_source,distance,duration_min,datetime_hour,hour,weekday,is_weekend,temperature,precipitation,snow_indicator,wind_speed,visibility,taxi_reference_price,estimated_cost,fhv_price,estimated_profit,estimated_profit_rate
B02875,2019-01-12 19:45:24,2019-01-12 19:54:12,40,181,,8.8,1.4,8.649999999999999,historical_median,1.4,8.8,2019-01-12 19:00:00,19,5,1,32.7,0.0,0,3.5,10.0,10.181818611045284,5.943999999999999,9.37,3.426,0.5763795423956932
B02765,2019-01-12 23:08:05,2019-01-12 23:32:54,225,197,,24.816666666666663,7.4,26.8,historical_median,7.4,24.816666666666663,2019-01-12 23:00:00,23,5,1,29.7,0.0,0,4.9,10.0,27.17987875766116,15.727,25.01,9.283000000000001,0.5902587906148662
B01148         ,2019-01-13 06:28:44,2019-01-13 06:33:49,61,61,,5.083333333333333,0.95,6.6,historical_median,0.95,5.083333333333333,2019-01-13 06:00:00,6,6,1,26.0,0.008,1,9.1,10.0,7.1246739323890855,4.757499999999999,6.55,1.7925000000000004,0.37677351550183935
B02765,2019-01-13 13:16:49,2019-01-13 13:25:56,181,25,,9.116666666666667,1.3,8.166666666666666,historical_median,1.3,9.116666666666667,2019-01-13 13:00:00,13,6,1,30.9,0.0,0,6.8,10.0,9.31760495933617,5.886,8.57,2.684,0.4559972816853551
B02617,2019-01-13 18:37:55,2019-01-13 18:58:44,33,217,,20.816666666666663,2.6950000000000003,17.691666666666666,historical_median,2.6950000000000003,20.816666666666663,2019-01-13 18:00:00,18,6,1,27.7,0.0,0,9.6,10.0,17.745739829103503,9.596249999999998,16.33,6.733750000000001,0.7017063957274979
B00975         ,2019-01-14 00:14:22,2019-01-14 00:35:42,39,188,,21.33333333333333,3.57,21.5,historical_median,3.57,21.33333333333333,2019-01-14 00:00:00,0,0,0,25.7,0.0,0,11.2,10.0,18.76098437024215,10.6955,17.26,6.5645000000000024,0.6137627974381752
B02876,2019-01-14 09:28:01,2019-01-14 09:35:07,80,37,3.0,7.1,1.605,8.7,historical_median,1.605,7.1,2019-01-14 09:00:00,9,0,0,21.7,0.0,0,12.3,10.0,9.317688537131176,5.873749999999999,8.57,2.696250000000001,0.4590338369865931
B02510,2019-01-14 16:32:32,2019-01-14 16:51:09,256,125,1.0,18.616666666666667,3.45,18.0,historical_median,3.45,18.616666666666667,2019-01-14 16:00:00,16,0,0,33.4,0.0,0,7.6,10.0,19.41810500725208,10.0685,16.08,6.011499999999998,0.5970601380543277
B02510,2019-01-14 21:36:56,2019-01-14 21:44:53,181,25,,7.95,1.3,8.166666666666666,historical_median,1.3,7.95,2019-01-14 21:00:00,21,0,0,24.4,0.0,0,5.5,10.0,9.977013678712844,5.676,9.18,3.5039999999999996,0.617336152219873
B02889,2019-01-15 07:38:09,2019-01-15 07:48:32,39,39,,10.383333333333333,1.2,8.05,historical_median,1.2,10.383333333333333,2019-01-15 07:00:00,7,1,0,23.1,0.0,0,4.1,10.0,9.4194857593211,5.999,8.67,2.6710000000000003,0.4452408734789132
