zone_id,zone_name,predicted_demand_12pm,avg_profit,weight,assigned_base_id,assigned_base_name,dispatch_time_min
177,Ocean Hill,3.5948860189758567,7.288875000000001,26.20267483156265,222,Starrett City,17.833333333333332
178,Ocean Parkway South,2.12592852023809,5.849361022863494,12.435323423674548,111,Green-Wood Cemetery,12.126472195532232
181,Park Slope,25.663915577133828,3.879388888888889,99.56030893531546,111,Green-Wood Cemetery,6.133333333333334
188,Prospect-Lefferts Gardens,10.067655222432975,5.607749999999999,56.456893573598514,111,Green-Wood Cemetery,10.465551661978136
189,Prospect Heights,6.0925541717045375,3.65,22.23782272672156,111,Green-Wood Cemetery,9.285476463537924
190,Prospect Park,0.2465956337974,5.849361022863494,1.4424268887428313,111,Green-Wood Cemetery,5.063555733551389
195,Red Hook,2.4260424794793,3.7015,8.979996237792628,111,Green-Wood Cemetery,8.689268616570093
210,Sheepshead Bay,5.58336643499782,2.736999999999999,15.281673932589028,222,Starrett City,18.7
217,South Williamsburg,2.7517249161379453,8.204500000000001,22.576527074453775,33,Brooklyn Heights,17.691666666666666
222,Starrett City,3.293675352324498,16.93678438081632,55.78426926272925,222,Starrett City,3.783333333333333
225,Stuyvesant Heights,7.65442465999378,9.283,71.05602411872226,111,Green-Wood Cemetery,18.46510705141511
227,Sunset Park East,2.761465361488717,6.2166250000000005,17.166994602864797,111,Green-Wood Cemetery,8.483333333333333
228,Sunset Park West,3.4977887457972523,5.7875,20.243452366301597,111,Green-Wood Cemetery,5.211112924671959
255,Williamsburg (North Side),3.7441591749538095,8.229416666666667,30.812245917017798,33,Brooklyn Heights,15.9
256,Williamsburg (South Side),2.402019694541912,4.5869,11.017824136894296,33,Brooklyn Heights,15.666666666666666
257,Windsor Terrace,3.148642850221658,4.912,15.466133680288785,111,Green-Wood Cemetery,3.1087071939772666
